agent,seed,platform,trial,title,has_paper,has_code,has_reviews,path
claude,Causal Learning,cpu,1,E-Valued Causal Discovery: Constraint-Based Structure Learning with Anytime-Valid FDR Control,True,True,True,papers/claude/causal_learning_trial1
claude,Causal Learning,cpu,2,Know Your Assumptions: Assumption-Adaptive Edge Orientation for Robust Causal Discovery via Data-Driven Diagnostics,True,True,True,papers/claude/causal_learning_trial2
claude,Causal Learning,cpu,3,When Do Causal Discovery Algorithms Disagree? Diagnosing Assumption Violations via Per-Edge Profiling,True,True,True,papers/claude/causal_learning_trial3
claude,Compiler Optimization,cpu,1,"The Algebra of Compiler Passes: An Empirical Study of Idempotency, Commutativity, and Convergence in LLVM Optimization Pipelines",True,True,True,papers/claude/compiler_optimization_trial1
claude,Compiler Optimization,cpu,2,ShapleyPass: Game-Theoretic Attribution and Interaction Analysis of Compiler Optimization Passes,True,True,True,papers/claude/compiler_optimization_trial2
claude,Compiler Optimization,cpu,3,ShapleyPass: Quantifying Higher-Order Interactions Among Compiler Optimization Passes via Shapley Interaction Indices,True,True,True,papers/claude/compiler_optimization_trial3
claude,Data Integration & Cleaning,cpu,1,Structural Sparsity in Constraint Interactions: An Empirical Study of Multi-Constraint Data Repair Decomposition,True,True,True,papers/claude/data_integration_cleaning_trial1
claude,Data Integration & Cleaning,cpu,2,Error Amplification in Entity Resolution Pipelines: A Formal Analysis of Stage-Wise Quality Propagation,True,True,True,papers/claude/data_integration_cleaning_trial2
claude,Data Integration & Cleaning,cpu,3,Characterizing Operator Interaction Effects in Data Cleaning Pipelines,True,True,True,papers/claude/data_integration_cleaning_trial3
claude,Operating System Design,cpu,1,MarkovTier: Anticipatory Page Migration via Markov Phase Models for Tiered Memory Systems,True,True,True,papers/claude/operating_system_design_trial1
claude,Operating System Design,cpu,2,The Bandwidth Knapsack: Optimal Migration Scheduling for Tiered Memory Systems,True,True,True,papers/claude/operating_system_design_trial2
claude,Operating System Design,cpu,3,Invisible Cycles: Characterizing and Quantifying CPU Time Displacement from Asynchronous Kernel Execution in Modern Linux,True,True,True,papers/claude/operating_system_design_trial3
claude,Probabilistic Methods,cpu,1,Confidence Sequences for Markov Chain Monte Carlo: Anytime-Valid Estimation with Sequential Guarantees,True,True,True,papers/claude/probabilistic_methods_trial1
claude,Probabilistic Methods,cpu,2,Optimal Error Budgeting for Heterogeneous Sketch Pipelines in Approximate Stream Processing,True,True,True,papers/claude/probabilistic_methods_trial2
claude,Probabilistic Methods,cpu,3,Sublinear-Memory Confidence Sequences for Streaming Quantiles,True,True,True,papers/claude/probabilistic_methods_trial3
claude,AI for Biology,gpu,1,When Does Coarse-to-Fine Training Help? Ablation Insights from Curriculum Contrastive Learning for Enzyme Function Prediction,True,True,True,papers/claude/ai_for_biology_trial1
claude,Computer Vision,gpu,1,Entropy-Guided Adaptive Token Merging for Robust and Efficient Vision Transformers,True,True,True,papers/claude/computer_vision_trial1
claude,Datasets & Benchmarks,gpu,1,FlipBench: Measuring Directional Reasoning Asymmetry in Large Language Models,True,True,True,papers/claude/datasets_benchmarks_trial1
claude,Generative Models,gpu,1,Spectral Consistency Distillation: Frequency-Adaptive Teacher Supervision for Few-Step Flow Matching,True,True,True,papers/claude/generative_models_trial1
claude,Interpretability of Learned Repr.,gpu,1,"The Convergent Core: Connecting Seed Stability, Cross-Model Universality, and Causal Importance of Sparse Autoencoder Features",True,True,True,papers/claude/interpretability_of_learned_repr_trial1
claude,Natural Language Processing,gpu,1,Context-Contrastive Uncertainty Decomposition for Reliable Retrieval-Augmented Generation,True,True,True,papers/claude/natural_language_processing_trial1
claude,Privacy in ML,gpu,1,MemPrune: Investigating Gradient Dispersion as a Memorization-Aware Neural Network Pruning Criterion,True,True,True,papers/claude/privacy_in_ml_trial1
claude,Supervised Repr. Learning,gpu,1,Confusion-Geometric Supervised Contrastive Learning: Shaping Embedding Geometry from Training Dynamics,True,True,True,papers/claude/supervised_repr_learning_trial1
claude,AI for Biology,gpu,2,EpiGNN: Multi-Mutation Protein Fitness Prediction via Message Passing on Language Model-Derived Residue Coupling Graphs,True,True,True,papers/claude/ai_for_biology_trial2
claude,Computer Vision,gpu,2,Attention Entropy Profiling for Training-Free Out-of-Distribution Detection in Vision Transformers,True,True,True,papers/claude/computer_vision_trial2
claude,Datasets & Benchmarks,gpu,2,consistbench{,True,True,True,papers/claude/datasets_benchmarks_trial2
claude,Generative Models,gpu,2,Prediction Coherence is Not a Quality Signal: A Negative Result on Verifier-Free Inference-Time Scaling for Diffusion Models,True,True,True,papers/claude/generative_models_trial2
claude,Interpretability of Learned Repr.,gpu,2,The Functional Anatomy of Sparse Features in Language Models,True,True,True,papers/claude/interpretability_of_learned_repr_trial2
claude,Natural Language Processing,gpu,2,SpecCheck: Testing Confidence Monotonicity Across Specificity Levels for LLM Hallucination Detection---A Negative Result,True,True,True,papers/claude/natural_language_processing_trial2
claude,Privacy in ML,gpu,2,Difficulty-Calibrated Unlearning Auditing: Exposing Per-Sample Privacy Gaps in Machine Unlearning,True,True,True,papers/claude/privacy_in_ml_trial2
claude,Supervised Repr. Learning,gpu,2,The Neural Collapse--Calibration Connection is Dataset-Dependent: An Empirical Investigation via Controlled Within-Class Geometry,True,True,True,papers/claude/supervised_repr_learning_trial2
claude,AI for Biology,gpu,3,Supervised Learning on PLM Embeddings for Multi-Mutant Protein Fitness Prediction: When Do Structural Priors Help?,True,True,True,papers/claude/ai_for_biology_trial3
claude,Computer Vision,gpu,3,Spectral Token Gating for Vision Transformer Robustness: A Negative Result with Insights on Frequency-Domain Corruption Detection in Embedding Space,True,True,True,papers/claude/computer_vision_trial3
claude,Datasets & Benchmarks,gpu,3,SkillStack: A Procedurally Generated Benchmark for Measuring Compositional Cognitive Skill Gaps in Large Language Models,True,True,True,papers/claude/datasets_benchmarks_trial3
claude,Generative Models,gpu,3,Conditioning-Space Guidance for Diffusion Transformers: When Does Single-Pass Classifier-Free Guidance Work?,True,True,True,papers/claude/generative_models_trial3
claude,Interpretability of Learned Repr.,gpu,3,Faithful by Consensus: Identifying Causally Important Features Through Multi-Seed Sparse Autoencoder Agreement,True,True,True,papers/claude/interpretability_of_learned_repr_trial3
claude,Natural Language Processing,gpu,3,Know When to Look: Parametric-Retrieval Agreement as a Calibration Signal for Retrieval-Augmented Generation,True,True,True,papers/claude/natural_language_processing_trial3
claude,Privacy in ML,gpu,3,The Compounding Cost: How Differential Privacy and Model Compression Jointly Amplify Fairness Degradation,True,True,True,papers/claude/privacy_in_ml_trial3
claude,Supervised Repr. Learning,gpu,3,Confusion-Calibrated Supervised Contrastive Learning: Adaptive Class-Pair Reweighting from Training Dynamics,True,True,True,papers/claude/supervised_repr_learning_trial3
codex,AI for Biology,gpu,1,Does Systema-Style Perturbed-Reference Residualization Help as a Training Target for Unseen Single-Cell Perturbation Prediction? A Pre-Registered Benc,True,True,True,papers/codex/ai_for_biology_trial1
codex,AI for Biology,gpu,2,Masked-Child Surrogate Calibration for Safe EC Prefix Decisions: A Leakage-Controlled Benchmark for Future-Child Emergence,True,True,True,papers/codex/ai_for_biology_trial2
codex,AI for Biology,gpu,3,SPARE-Gain: A Low-Compute Benchmark of Baseline-Relative Routing for Unseen-Perturbation Pseudobulk Prediction,True,True,True,papers/codex/ai_for_biology_trial3
codex,Causal Learning,cpu,1,Benchmarking Subset Aggregation for Classical Causal Discovery Under Marginalization Error,True,True,True,papers/codex/causal_learning_trial1
codex,Causal Learning,cpu,2,PACER-Cert as a Benchmark for Stopping-Certificate Calibration in CPU-Only Active Causal Discovery,True,True,True,papers/codex/causal_learning_trial2
codex,Causal Learning,cpu,3,When Do Path-Dependent Setup Costs Matter in Sequential Causal Design?,True,True,True,papers/codex/causal_learning_trial3
codex,Compiler Optimization,cpu,1,DebtAware Beyond LastRunTracking? A Proxy Feasibility Boundary Study of Typed Rerun Suppression in LLVM,True,True,True,papers/codex/compiler_optimization_trial1
codex,Compiler Optimization,cpu,2,Typed Skip-Versus-Global Scheduling for LLVM Cleanup Pipelines: A Negative Proxy Study,True,True,True,papers/codex/compiler_optimization_trial2
codex,Compiler Optimization,cpu,3,Optimization Remarks as a Feasibility Signal for Low-Budget LLVM Micro-Search A Pilot Against Random and ProbeDelta,True,True,True,papers/codex/compiler_optimization_trial3
codex,Computer Vision,gpu,1,Do Corruption-Family Text Residuals Help Zero-Shot CLIP? A Controlled Negative Result on CIFAR-C,True,True,True,papers/codex/computer_vision_trial1
codex,Computer Vision,gpu,2,FOCUS: Object-Centric Evidence as a Causal Update Gate for Realistic Online Vision-Language Adaptation,True,True,True,papers/codex/computer_vision_trial2
codex,Computer Vision,gpu,3,Object Units or Pixels? A Negative Proxy Feasibility Study for Online Segmentation Adaptation,True,True,True,papers/codex/computer_vision_trial3
codex,Data Integration & Cleaning,cpu,1,A Preliminary Artifact-Backed Cautionary Study of Benchmark-Conditional Admissibility for Robustness Evaluation in Schema and Entity Matching,True,True,True,papers/codex/data_integration_cleaning_trial1
codex,Data Integration & Cleaning,cpu,2,CanopyER: A Short Systems Note on Budgeted Rewrite-vs-Match Scheduling for Progressive Entity Matching,True,True,True,papers/codex/data_integration_cleaning_trial2
codex,Data Integration & Cleaning,cpu,3,StressAudit-SM: A Compact Robustness Audit for Schema Matching Under Metadata Stress,True,True,True,papers/codex/data_integration_cleaning_trial3
codex,Datasets & Benchmarks,gpu,1,DriftAnswer-Py: A 12-Item Executable Pilot of Accepted Python Stack Overflow Answers Under Documented Library Drift,True,True,True,papers/codex/datasets_benchmarks_trial1
codex,Datasets & Benchmarks,gpu,2,RevisionBench: A Reproducible Failed-Construction Case Study for Abstract-Local Scientific Claim Updates,True,True,True,papers/codex/datasets_benchmarks_trial2
codex,Datasets & Benchmarks,gpu,3,TwinBench: A Synthetic Procedural-Core Pilot for Coupled Invariance and Boundary Sensitivity in QA,True,True,True,papers/codex/datasets_benchmarks_trial3
codex,Generative Models,gpu,1,When Assignment Matters: A Pilot Study of DAAM-Assisted Compositional Text-to-Image Reranking,True,True,True,papers/codex/generative_models_trial1
codex,Generative Models,gpu,2,Decomposed Early Ranking Targets Under a Local Surrogate Evaluator for Compositional Text-to-Image Generation,True,True,True,papers/codex/generative_models_trial2
codex,Generative Models,gpu,3,bf ParaDG: An Exploratory Negative Study of Disagreement-Gated Paraphrase Blending for Text-to-Image Diffusion,True,True,True,papers/codex/generative_models_trial3
codex,Interpretability of Learned Repr.,gpu,1,Do Shared Decoders Improve Prototype-Edit Reusability on Frozen CLIP Features?,False,False,True,papers/codex/interpretability_of_learned_repr_trial1
codex,Interpretability of Learned Repr.,gpu,2,Pair-Supervised Regularization for Selective Counterfactual Edits in Frozen Vision SAEs,False,False,True,papers/codex/interpretability_of_learned_repr_trial2
codex,Interpretability of Learned Repr.,gpu,3,Benchmarking Weakly Supervised Factor-Localized Sparse Autoencoders on Frozen Vision Features,False,False,True,papers/codex/interpretability_of_learned_repr_trial3
codex,Natural Language Processing,gpu,1,When Does Clarification Supervision Transfer to Formal Reasoning? A Controlled Pilot of Validator-Clean vs. Matched Noisy Missing-Fact Tuning,True,False,True,papers/codex/natural_language_processing_trial1
codex,Natural Language Processing,gpu,2,LIMS-RAG: Localized Minimal-Support Perturbations Are a Weak but Measurable Feature Family for Sentence-Level RAG Verification,False,False,True,papers/codex/natural_language_processing_trial2
codex,Natural Language Processing,gpu,3,LateBind: Controlled Additive-Value Tests for Timing-Aware Shortcut Mitigation in Text Classification,False,False,True,papers/codex/natural_language_processing_trial3
codex,Operating System Design,cpu,1,Replay-Scoped Evidence for Bias-Corrected Counterfactual Policy Ranking in One Shared Linux Page Cache,True,True,True,papers/codex/operating_system_design_trial1
codex,Operating System Design,cpu,2,ShareArb: Evictor-Side Responsibility for Shared Linux Page-Cache Arbitration,True,True,True,papers/codex/operating_system_design_trial2
codex,Operating System Design,cpu,3,ShadowCache: A Simulator-Backed Trace Study of How Much Observable State Policy Ranking Needs,True,True,True,papers/codex/operating_system_design_trial3
codex,Privacy in ML,gpu,1,Who Was in the Recent Window? A Rigorous Audit of Online Test-Time Adaptation Privacy,True,False,True,papers/codex/privacy_in_ml_trial1
